"",".Dorms&GreeksMainList","School.Lookup.Table",".Town",".School.Lat",".School.Long",".Early.Voting.Name",".Early.Voting.Address",".EV.Lat",".EV.Long",".Miles.to.EV",".Walk.to.EV",".Dorm.Type.Spcfc",".is.greek",".Dorm.Name",".Dorm.Address",".Dorm.Lat",".Dorm.Long",".Mlbx.Name",".Mlbx.Address",".Ward",".PP.Name",".Polling.Place",".PP.Lat",".PP.Long"
"227","UWStevensPoint - ​Steiner Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"​Steiner Hall","401 Isadore St.
Stevens Point, WI 54481",44.5311867,-89.5729365,NA,NA,7,"Dreyfus University Center","1015 Reserve St. St.evens Point, WI 54481",44.5258157,-89.5689993
"228","UWStevensPoint - The Suites@201","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"The Suites@201","201 Reserve St.
Stevens Point, WI 54481",44.5323477,-89.5685166,NA,NA,4,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 54481",44.5255368,-89.5639693999999
"229","UWStevensPoint - ​Thomson Hall
'","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"​Thomson Hall","1817 Maria Dr.
Stevens Point, WI 54481",44.5333907,-89.5719051999999,NA,NA,31,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 54481",44.5255368,-89.5639693999999
"230","UWStevensPoint - Watson Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Watson Hall","1801 Maria Dr.
Stevens Point, WI 54481",44.5334681,-89.5729365,NA,NA,31,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 54481",44.5255368,-89.5639693999999
"231","UWStout","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","UWStout - Fleming | Hovlid","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,"Campus",NA,"Fleming | Hovlid","220 2nd St W
Menomonie, WI 54751",44.8813346,-91.9303845,NA,NA,3,"City Of Menomonie Council Chambers","800 Wilson Ave, Menomonie, WI 54751",44.8748641,-91.9210882
"233","UWStout - HKMC","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,"Campus",NA,"HKMC","1215 3rd St E
Menomonie, WI 54751",44.8715596,-91.9275973,NA,NA,7,"UW Stout Commons","1110 Broadway St. S, Menomonie, WI 54751",44.8724487,-91.9290099
"234","UWStout - JTC","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,"Campus",NA,"JTC","200 Broadway St. S
Menomonie, WI 54751",44.8805904,-91.9290481,NA,NA,4,"City Of Menomonie Council Chambers","800 Wilson Ave, Menomonie, WI 54751",44.8748641,-91.9210882
"235","UWStout - North Hall","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,"Campus",NA,"North Hall","124 10th Avenue E
Menomonie, WI 54751",44.8735814,-91.9289718,NA,NA,5,"UW Stout Commons","1110 Broadway St. S, Menomonie, WI 54751",44.8724487,-91.9290099
"236","UWStout - South Hall","UW-Stout","Stout","44.8717° N","91.9267° W","Menomonie City Clerk","800 Wilson Ave
Menomonie, WI 54751",NA,NA,0.3,6,"Campus",NA,"South Hall","115 13th Avenue E
Menomonie, WI 54751",44.8715339,-91.9291245,NA,NA,5,"UW Stout Commons","1110 Broadway St. S, Menomonie, WI 54751",44.8724487,-91.9290099
"237","UWSuperior","UW-Superior","Superior","46.7178° N","92.0881° W","Superior Government Center","1316 N. 14th Street
Superior, WI 54880",NA,NA,0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","UWWhitewater","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","UWWhitewater - Arey Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Arey Hall","1024 West Starin Rd.
Whitewater, WI 53190",42.8402533999999,-88.7482345999999,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"240","UWWhitewater - Benson Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Benson Hall","1008 West Starin Rd.
Whitewater, WI 53190",42.8402427,-88.7472574,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"241","UWWhitewater - Bigelow Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Bigelow Hall","441 Koshkonong Dr.
Whitewater, WI 53190",42.8420889,-88.7476679999999,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"242","UWWhitewater - Fischer Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Fischer Hall","771 West Lauderdale Dr.
Whitewater, WI 53190",42.8427909,-88.7415529,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"243","UWWhitewater - Fricker Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Fricker Hall","423 W. Koshkonong Dr.
Whitewater, WI 53190",42.8408577,-88.7481615,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"244","UWWhitewater - Knilans Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Knilans Hall","411 North Prairie St.
Whitewater, WI 53190",42.8430781,-88.7401344,NA,NA,13,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"245","UWWhitewater - Lee Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Lee Hall","429 Koshkonong Dr.
Whitewater, WI 53190",42.8413691,-88.7481428,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"246","UWWhitewater - Ma'iingan Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Ma'iingan Hall","451 Warhawk Dr.
Whitewater, WI 53190",42.8417795,-88.7449980999999,NA,NA,10,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"247","UWWhitewater - Pulliam Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Pulliam Hall","901 West Starin Rd.
Whitewater, WI 53190",42.8393918,-88.7460547,NA,NA,9,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"248","UWWhitewater - Tutt Hall","UW-Whitewater","Whitewater","42.8418° N","88.7427° W","City Administration Building","312 W Whitewater St.
Whitewater, WI 53190",NA,NA,0.6,12,"Campus",NA,"Tutt Hall","431 North Prairie St.
Whitewater, WI 53190",42.8436723,-88.7404914999999,NA,NA,13,"UWW Uc Hamilton Room","800 W Main St.
Whitewater, WI 53190",42.8363544,-88.7457084
"249","Viterbo - All Other Residences","Viterbo - Bonaventure Hall, Marian Hall, McDonald Terrace, Rose Terrace, Treacy House, or La Verna Apartments","LaCrosse","43.8021° N","91.2451° W","City Hall","400 La Crosse St.
La Crosse, WI 54601",NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coulee Recovery Center","933 Ferry St.
La Crosse, WI, 54601",43.8058612,-91.243225
"250","Viterbo - Canticle House or Clare Apartments","Viterbo - Canticle House or Clare Apartments","LaCrosse","43.8021° N","91.2451° W","City Hall","400 La Crosse St.
La Crosse, WI 54601",NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southside Neighborhood Center","1300 6th Street South, La Crosse, WI, 54601",43.7982798,-91.2490593
"251","Ξ Different Private School in Wisconsin","Ξ Different Private School in Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Ξ Different Public School in Wisconsin","Ξ Different Public School in Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
